,negative,positive
the,130527,139254
and,59439,72050
a,63043,67277
of,55294,62110
to,55226,53663
is,39859,46200
in,34959,40248
it,31380,31503
i,32190,29124
this,32418,28269
that,28474,27508
as,16527,21080
with,16561,18685
for,17453,18014
was,20892,17541
but,17225,16589
film,14848,16432
movie,19466,15153
his,9737,13765
on,13719,13697
are,11747,11999
you,12032,11886
he,9681,11802
not,13021,11501
one,10445,10883
have,12077,10260
be,11673,10049
by,8353,9646
all,9602,9568
an,8215,9158
at,9755,9066
who,7655,8799
from,7756,8594
her,6281,8320
they,9555,7546
has,6021,7451
so,9085,7372
like,8935,7232
it's,6855,6909
about,7247,6785
very,4623,6619
out,7191,6552
or,8087,6156
good,5783,6134
some,6680,6028
more,5359,6022
when,5403,5985
what,6281,5933
if,7575,5830
just,8549,5801
she,4450,5563
there,7002,5547
story,4118,5438
my,4745,5244
time,4886,5241
which,4585,5109
well,3338,5090
great,2051,5088
up,5514,5046
their,4176,4955
see,4330,4804
also,2884,4482
can,4372,4457
really,5002,4394
would,5523,4292
will,3208,4207
had,4881,4187
only,5406,4173
we,3811,4107
me,4371,4075
him,3049,3964
even,6154,3962
other,3403,3892
most,3169,3892
were,4873,3850
than,4125,3816
first,3446,3773
much,4125,3729
no,6420,3674
into,3660,3657
its,2853,3647
people,3786,3503
get,4028,3432
best,1643,3423
love,1704,3408
been,4082,3405
how,3708,3369
life,1931,3272
because,3968,3258
way,3158,3220
do,4132,3145
made,3603,3103
them,3302,3079
many,2312,3066
after,3042,3029
films,2387,3012
two,2526,2995
too,3318,2946
think,2920,2920
movies,3251,2837
characters,2780,2834
seen,2588,2811
watch,2802,2727
still,1804,2706
make,3741,2684
character,2643,2682
little,2495,2680
show,2183,2678
then,3754,2675
don't,4095,2663
never,2599,2610
being,2670,2591
could,3635,2572
man,1887,2543
where,2533,2517
does,2257,2480
over,2659,2452
any,3771,2413
while,1874,2291
know,2669,2284
did,2763,2261
ever,2629,2214
years,1376,2201
these,2159,2144
end,2309,2120
such,2054,2095
here,2234,2080
real,1726,2063
scene,2221,2015
back,1928,2014
those,1772,2000
off,2869,1973
your,2624,1967
though,1646,1960
new,1462,1954
acting,3182,1934
scenes,2213,1930
go,2174,1928
through,2018,1928
makes,1434,1923
say,2338,1916
plot,3182,1906
better,2595,1893
work,1577,1893
find,1475,1881
now,1766,1837
young,1031,1837
world,1077,1832
old,1725,1812
both,902,1775
before,1700,1753
quite,1265,1734
again,1423,1718
lot,1493,1697
always,939,1690
cast,1342,1689
something,2291,1687
series,975,1684
us,1259,1679
should,2312,1672
part,1529,1660
another,1788,1658
own,1059,1615
actors,1859,1610
same,1646,1610
family,882,1607
doesn't,2053,1603
may,1065,1599
between,1107,1592
every,1620,1588
role,961,1572
performance,762,1567
few,1728,1562
funny,1839,1557
watching,2089,1548
look,1801,1534
why,2713,1505
i'm,2268,1499
bad,5777,1497
however,1390,1469
things,1447,1468
actually,1989,1453
times,1126,1453
big,1314,1439
director,1647,1426
going,1843,1414
must,1158,1406
bit,1039,1402
down,1602,1397
action,1219,1394
saw,1159,1383
music,1018,1381
fact,1455,1373
around,1565,1362
excellent,304,1358
right,1288,1357
long,1394,1353
take,1392,1349
didn't,2121,1341
fun,779,1337
without,1249,1334
thing,2219,1330
comedy,1153,1327
each,772,1318
seems,1624,1314
thought,1412,1292
got,1537,1290
come,1243,1289
last,1095,1275
beautiful,469,1273
give,1414,1264
done,1183,1264
played,803,1264
feel,1080,1262
almost,1248,1260
pretty,1682,1259
day,862,1253
since,1099,1251
i've,1434,1245
especially,764,1229
yet,950,1222
although,820,1218
want,1700,1217
gets,1373,1200
different,720,1197
job,635,1191
can't,1682,1184
true,658,1178
&,1551,1172
enough,1613,1169
our,841,1164
interesting,1327,1162
shows,683,1161
that's,1587,1151
original,1587,1124
probably,1139,1113
horror,1621,1098
woman,1025,1097
tv,1086,1096
plays,673,1096
rather,1113,1090
far,1299,1087
wonderful,236,1085
he's,1214,1082
point,1436,1081
course,932,1076
dvd,799,1070
isn't,1497,1063
found,1015,1050
john,664,1044
away,1168,1043
once,805,1043
hard,1112,1041
girl,1067,1040
whole,1398,1038
later,664,1036
nothing,2352,1035
together,759,1030
am,1205,1026
screen,919,1024
making,1362,1020
year,805,1020
having,1012,1019
sure,1149,1013
set,890,1011
comes,982,1009
takes,760,1006
kind,1213,1005
might,1314,996
father,478,994
place,916,993
performances,463,991
play,770,990
american,769,990
version,809,986
war,602,986
perfect,280,982
himself,749,976
anyone,1121,965
there's,1538,963
worth,844,952
classic,519,948
goes,982,944
actor,886,944
enjoy,502,943
ending,920,941
three,883,927
everyone,754,922
nice,713,914
book,992,913
seeing,784,912
star,741,899
put,1027,897
during,789,891
least,1583,889
wife,732,889
loved,272,889
10,890,886
